,Country_Code,Country,Temp_Change,GDP_Change,CO2_Change,Temp_Factor,CO2_Factor
1,AFG,Afghanistan,0.0647631,7.539524704,0.002469515,H,M
2,AGO,Angola,0.033561,4.911339127,0.03149319,M,M
3,ALB,Albania,0.067387533,3.498279348,0.010598001,H,M
4,AND,Andorra,0.050158567,2.294635322,-0.044403457,H,L
5,ARE,United Arab Emirates,0.062797,4.447442729,-0.295575866,H,L
6,ARG,Argentina,0.002889833,3.224490827,0.043165051,L,M
7,ARM,Armenia,0.0228089,3.114864677,0.070239041,L,H
8,ATG,Antigua and Barbuda,0.016700333,2.639375414,0.066884171,L,H
9,AUS,Australia,0.008587333,3.085895842,0.01645017,L,M
10,AUT,Austria,0.059935567,1.885753147,-0.037016769,H,L
11,AZE,Azerbaijan,0.025395933,4.476870241,0.154213887,M,H
12,BDI,Burundi,0.027425667,1.081951711,0.000174778,M,M
13,BEL,Belgium,0.046706367,1.830371741,-0.101619465,M,L
14,BEN,Benin,0.040675,4.291113756,0.01744542,M,M
15,BFA,Burkina Faso,0.030635,5.625973239,0.004559994,M,M
16,BGD,Bangladesh,0.017732,5.435287779,0.015721673,L,M
17,BGR,Bulgaria,0.079981233,1.42489257,-0.03261026,H,L
18,BHR,Bahrain,0.069993333,5.06325174,-0.042841154,H,L
19,BHS,Bahamas,0.010270667,1.230709024,-0.093662365,L,L
20,BIH,Bosnia and Herzegovina,0.069593033,10.35509605,0.258077535,H,H
21,BLR,Belarus,0.033714633,2.661594467,0.245348303,M,H
22,BLZ,Belize,0.030573667,4.263372095,-0.023472365,M,L
23,BOL,Bolivia,-0.002521,4.153098733,0.04407352,L,M
24,BRA,Brazil,0.037172667,2.535203533,0.031843188,M,M
25,BRB,Barbados,0.021553,0.8509899,-0.005091372,L,L
26,BRN,Brunei,0.027784333,1.292147273,-0.067583339,M,L
27,BTN,Bhutan,0.0360505,6.732946379,0.054498774,M,M
28,BWA,Botswana,0.050015667,4.60820516,0.03789963,H,M
29,CAF,Central African Republic,0.022436333,1.108915618,-0.000235277,L,M
30,CAN,Canada,0.0633347,2.606465559,-0.005269924,H,L
31,CHE,Switzerland,0.0474753,1.564030457,-0.08651229,M,L
32,CHL,Chile,0.030471967,4.874429152,0.095683853,M,H
33,CHN,China,0.034744933,9.87244177,0.197885911,M,H
34,CIV,Cote d'Ivoire,0.033209333,2.871475431,0.001482495,M,M
35,CMR,Cameroon,0.025416,3.169150204,0.01352254,M,M
36,COD,Congo (Democratic Republic of the),0.027070667,1.27931397,-0.002491276,M,L
37,COG,Congo (Republic of the),0.028274333,3.041587989,0.005464784,M,M
38,COL,Colombia,0.033347667,3.59220813,0.013539207,M,M
39,COM,Comoros,0.015481,2.521956385,0.003911261,L,M
40,CPV,Cape Verde,0.03027,7.149279468,0.0294328,M,M
41,CRI,Costa Rica,0.024175333,4.413356854,0.023820902,L,M
42,CUB,Cuba,0.004996667,2.158963166,-0.009085985,L,L
43,CYP,Cyprus,0.064097667,3.01388297,-0.023731383,H,L
44,CZE,Czech Republic,0.063926033,1.894344168,0.386955946,H,H
45,DEU,Germany,0.048051167,1.511855766,-0.111300695,M,L
46,DJI,Djibouti,0.031634333,7.13675973,0.004442948,M,M
47,DMA,Dominica,0.021999667,1.815265357,0.067445352,L,H
48,DNK,Denmark,0.0320294,1.709963979,-0.245766674,M,L
49,DOM,Dominican Republic,0.022673,5.309628235,0.041909244,L,M
50,DZA,Algeria,0.062144333,2.969230876,0.028196414,H,M
51,ECU,Ecuador,0.020415333,3.194858601,0.036808748,L,M
52,EGY,Egypt,0.047133667,4.307578223,0.04691894,M,M
